asin,title,img_url,product_url,stars,reviews,price,list_price,category_id,is_best_seller,bought_in_last_month
B01LYOCVZF,$20 Nintendo eShop Gift Card [Digital Code],https://m.media-amazon.com/images/I/71cj5cNm7ZL._AC_UY218_.jpg,https://www.amazon.com/dp/B01LYOCVZF,4.7,103512,20.0,0.0,260,False,0
B01LZNGH6L,$35 Nintendo eShop Gift Card [Digital Code],https://m.media-amazon.com/images/I/61EYYBkMUJL._AC_UY218_.jpg,https://www.amazon.com/dp/B01LZNGH6L,4.7,103512,35.0,0.0,260,False,0
B079C4Q1F7,$99 Nintendo eShop Gift Card [Digital Code],https://m.media-amazon.com/images/I/611cS6qGPeL._AC_UY218_.jpg,https://www.amazon.com/dp/B079C4Q1F7,4.7,103512,99.0,0.0,260,False,0
B01NBNDC1T,"Utopia Bedding Throw Pillows Insert (Pack of 2, White) - 18 x 18 Inches Bed and Couch Pillows - Indoor Decorative Pillows",https://m.media-amazon.com/images/I/51lFr88wxML._AC_UL320_.jpg,https://www.amazon.com/dp/B01NBNDC1T,4.6,172980,16.99,21.99,165,True,30000
B01CS31R94,"NICETOWN Pitch Black Solid Thermal Insulated Grommet Blackout Curtains/Drapes for Bedroom Window (2 Panels, 42 inches Wide by 63 inches Long, Black)",https://m.media-amazon.com/images/I/61Xsz1yLEML._AC_UL320_.jpg,https://www.amazon.com/dp/B01CS31R94,4.7,109687,19.95,27.02,165,True,4000
B00T0C9XRK,essence | Lash Princess False Lash Effect Mascara | Gluten & Cruelty Free,https://m.media-amazon.com/images/I/61K6cQhw4EL._AC_UL320_.jpg,https://www.amazon.com/dp/B00T0C9XRK,4.3,346563,4.99,0.0,48,True,100000
B08H3JPH74,"Maybelline Lash Sensational Sky High Washable Mascara Makeup, Volumizing, Lengthening, Defining, Curling, Multiplying, Buildable Formula, Blackest Black, 1 Count",https://m.media-amazon.com/images/I/71e5-Rxbp7L._AC_UL320_.jpg,https://www.amazon.com/dp/B08H3JPH74,4.5,125078,6.98,12.99,48,False,30000
B005G9E9AW,"NYX PROFESSIONAL MAKEUP Mechanical Eyeliner Pencil, Black",https://m.media-amazon.com/images/I/51rSQChbyPL._AC_UL320_.jpg,https://www.amazon.com/dp/B005G9E9AW,4.5,108456,5.79,6.5,48,True,10000
B00PFCT2R0,"Maybelline New York Lash Sensational Washable Mascara, Lengthening and Volumizing for a Full Fan Effect, Blackest Black, 1 Count",https://m.media-amazon.com/images/I/41Ie2x68ebL._AC_UL320_.jpg,https://www.amazon.com/dp/B00PFCT2R0,4.5,119384,8.39,11.99,48,False,10000
B004Y9GTOO,"Maybelline New York Instant Age Rewind Eraser Dark Circles Treatment Multi-Use Concealer, 110, 1 Count (Packaging May Vary)",https://m.media-amazon.com/images/I/61bGLtb9nQL._AC_UL320_.jpg,https://www.amazon.com/dp/B004Y9GTOO,4.4,194051,7.69,10.99,48,True,10000
B074VGYK4X,"Maybelline New York Total Temptation Eyebrow Definer Pencil, Medium Brown, 1 Count",https://m.media-amazon.com/images/I/71s-Fyb5J3L._AC_UL320_.jpg,https://www.amazon.com/dp/B074VGYK4X,4.5,111665,8.99,9.99,48,False,10000
B08H4FSGDX,"Maybelline New York Super Stay Matte Ink Liquid Lipstick Makeup, Long Lasting High Impact Color, Up to 16H Wear, Exhilarator, Ruby Red, 1 Count",https://m.media-amazon.com/images/I/61DcdgnhAZL._AC_UL320_.jpg,https://www.amazon.com/dp/B08H4FSGDX,4.4,109205,7.98,10.99,48,False,5000
B00PFCSURS,"Maybelline New York Fit Me Matte + Poreless Liquid Oil-Free Foundation Makeup, Natural Beige, 1 fl; oz",https://m.media-amazon.com/images/I/711t9wxyobL._AC_UL320_.jpg,https://www.amazon.com/dp/B00PFCSURS,4.5,132370,6.94,9.99,48,True,3000
B000BNG4VU,"Coty Airspun Loose Face Powder, Translucent, Pack of 1",https://m.media-amazon.com/images/I/81bIKDGPRkL._AC_UL320_.jpg,https://www.amazon.com/dp/B000BNG4VU,4.5,112738,12.07,12.83,48,False,1000
B07PH22TG9,"Queen Size Sheet Set - Breathable & Cooling Sheets - Hotel Luxury Bed Sheets for Women, Men Kids & Teens - Deep Pockets - 4 Piece Set - Soft & Wrinkle Free - Spa Blue Bed Sheets - Queen Sheets - 4PC",https://m.media-amazon.com/images/I/61Uk0JkxbgL._AC_UL320_.jpg,https://www.amazon.com/dp/B07PH22TG9,4.5,281661,32.99,39.99,172,True,1000
B09JVTQKDN,"Queen Size Sheet Set - Breathable & Cooling Sheets - Hotel Luxury Bed Sheets for Women, Men Kids & Teens - Deep Pockets - 4 Piece Set - Soft & Wrinkle Free - Off White Bed Sheets - Comfy Queen Sheets",https://m.media-amazon.com/images/I/61KjNqyOcwL._AC_UL320_.jpg,https://www.amazon.com/dp/B09JVTQKDN,4.5,281661,32.99,39.99,172,True,2000
B07VMNJHBK,"Full Size Sheet Set - Breathable & Cooling Sheets - Hotel Luxury Bed Sheets - Extra Soft Sheets for Kids, Teens, Women & Men - Deep Pockets - 4 Piece Set - Comfy - Wrinkle Free - Light Grey Bed Sheets",https://m.media-amazon.com/images/I/611B25E53dL._AC_UL320_.jpg,https://www.amazon.com/dp/B07VMNJHBK,4.5,281661,28.99,38.99,172,True,2000
B07C1LNZFB,"Bedsure Fleece Blanket Throw Pink - 300GSM Blankets for Couch, Sofa, Bed, Soft Lightweight Plush Cozy and Throws Toddlers, Kids, Girls",https://m.media-amazon.com/images/I/71oJII11BEL._AC_UL320_.jpg,https://www.amazon.com/dp/B07C1LNZFB,4.6,152052,13.99,0.0,172,True,1000
B07WDL1YFZ,"LuxClub 4 PC Sheet Bed Sheets Deep Pockets 18"" Eco Friendly Wrinkle Free Kids Fitted Sheets Machine Washable Hotel Bedding Silky Soft - White Twin",https://m.media-amazon.com/images/I/41V5LNBkanL._AC_UL320_.jpg,https://www.amazon.com/dp/B07WDL1YFZ,4.4,172929,27.95,43.99,172,True,700
B09VX3262S,"NICETOWN Modern Greyish Blue Blackout Curtains Noise Reducing, Thermal Insulated and Privacy Room Darkening Drape Panels for Boy's Guest Room Door Small Short Window (2 Panels, W42 x L63 -Inch)",https://m.media-amazon.com/images/I/6166G9-TqqL._AC_UL320_.jpg,https://www.amazon.com/dp/B09VX3262S,4.7,109688,29.95,0.0,172,True,200
B01M1C93ZF,"Glad for Pets Black Charcoal Puppy Pads | Puppy Potty Training Pads That ABSORB & NEUTRALIZE Urine Instantly | New & Improved Quality Dog Training Pads, 30 count",https://m.media-amazon.com/images/I/810Vn8BRRmL._AC_UL320_.jpg,https://www.amazon.com/dp/B01M1C93ZF,4.5,108387,10.83,0.0,179,False,1000
B003A7LVX0,"Fresh Step Odor Shield Scented Litter with the Power of Febreze, Clumping Cat Litter, 25 Pounds",https://m.media-amazon.com/images/I/81HIJxgrxWL._AC_UL320_.jpg,https://www.amazon.com/dp/B003A7LVX0,4.6,131149,0.0,0.0,179,False,50
B077DG6FT8,"Finishing Touch Flawless Women's Painless Hair Remover, Parisian Blue, 1 Count",https://m.media-amazon.com/images/I/71BsRm-sz+L._AC_UL320_.jpg,https://www.amazon.com/dp/B077DG6FT8,4.4,106082,19.88,0.0,50,True,2000
B071S6GZ1K,Men's Casual Slide,https://m.media-amazon.com/images/I/71vFE31pYVL._AC_UL320_.jpg,https://www.amazon.com/dp/B071S6GZ1K,4.5,125755,12.66,25.0,114,False,100
